Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,100nf,
"H1, H2",MountingHole_M2_2.2x5mm_pad,2,MountingHole_Pad,
"H10, H7, H8, H9",MountingHole_2.2mm_M2_DIN965_Pad,4,MountingHole_Pad,
"J1, J7",PinHeader_2x04_P2.54mm_Vertical,2,Conn_02x04_Odd_Even,
J2,BTB_0.8mm_2x10pin_Male,1,Conn_02x10_Counter_Clockwise,
"J3, J4, J6, J8",PinSocket_1x02_P2.54mm_Vertical,4,Conn_01x02_Pin,
J5,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
R1,0603,1,10k,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ADuM1250,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,ADuM1201BR,
