Designator,Mid X,Mid Y,Rotation,Layer
C10,91.2,-36.375,0.0,bottom
C11,97.9,-39.575,90.0,bottom
C12,89.5,-43.075,270.0,bottom
C13,70.5,-48.55,270.0,top
C2,73.2,-48.2375,90.0,top
C3,83.6,-45.775,90.0,top
C4,82.1,-45.775,90.0,top
C5,104.3,-44.375,90.0,top
C6,104.3,-37.775,270.0,top
C7,99.7,-37.975,270.0,bottom
C8,82.4,-26.475,270.0,top
C9,96.2,-44.775,180.0,bottom
D1,69.5,-32.975,0.0,top
D2,101.4,-52.9375,0.0,top
D3,96.4,-52.9375,180.0,top
D4,80.4,-50.3375,180.0,bottom
H1,50.0,-42.0,0.0,top
H2,50.0,-107.0,0.0,top
J1,69.5,-40.475,270.0,top
J2,50.0,-50.0,0.0,bottom
J3,88.7,-49.9375,90.0,top
J4,90.32,-28.075,90.0,top
J5,38.175,-25.35,90.0,top
R1,86.7,-44.375,90.0,top
R10,100.5,-49.8375,270.0,top
R11,98.9,-49.6375,270.0,top
R2,100.2,-34.275,0.0,top
R3,95.5,-46.775,180.0,top
R4,103.6,-34.275,0.0,top
R5,101.5,-45.5375,270.0,top
R6,99.7,-41.275,90.0,bottom
R7,87.6,-35.575,270.0,top
R8,82.4,-29.875,90.0,top
R9,78.1,-33.575,180.0,top
TGT_NRST1,79.0,-28.15,180.0,top
U1,77.7,-48.7375,270.0,top
U2,93.7,-40.575,180.0,top
Y1,108.0,-38.625,270.0,top
