Designator,Footprint,Quantity,Value,LCSC Part #
"Bolt1, Bolt10, Bolt2, Bolt3, Bolt4, Bolt5, Bolt6, Bolt7, Bolt8, Bolt9",M3 BOLT,10,M3_BOLT,
"C10, C3, C4, C5, C6, C8",603,6,100nf,
C11,603,1,4.7uf,
"C12, C18",603,2,30p,
"C14, C16",603,2,22uF,
"C15, C17",603,2,0.1uF,
C7,CP_EIA-3216-18_Kemet-A,1,4.7uf,
C9,603,1,1uf,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D36, D37, D38, D39, D4, D41, D42, D43, D44, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D6, D60, D61, D62, D66, D67, D68, D7, D70, D8, D9",D_MiniMELF,61,LL4148,
"D25, D35",1206,2,LED,
FB1,805,1,FerriteBead,
"H1, H2",MountingHole_2.2mm_M2_DIN965_Pad_TopBottom,2,MountingHole,
J1,USB_Micro-B_4TH,1,USB_B_Mini,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J3,BTB_0.8mm_2x10pin_Female,1,Conn_02x10_Counter_Clockwise,
J7,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"R1, R11, R12, R13, R14, R16, R17, R18, R2, R20, R21, R4, R5, R6, R7, R8",603,16,10K,
"R22, R9",603,2,3.3K,
R3,805,1,10k,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S36, S37, S38, S39, S4, S41, S42, S43, S44, S46, S47, S48, S49, S5, S50, S51, S52, S53, S54, S55, S56, S57, S58, S6, S60, S61, S62, S66, S67, S68, S7, S70, S8, S9",SW_Hotswap_Kailh_MX_plated_1.00u,61,Cherry_MX,
TP1,TestPoint_Pad_1.5x1.5mm,1,TestPoint,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F401RCTx,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y2,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,25Mhz,
