Designator,Mid X,Mid Y,Rotation,Layer
Bolt1,130.556,100.203,90.0,top
Bolt10,299.466,100.203,270.0,top
Bolt4,255.016,2.413,90.0,top
Bolt5,321.056,67.183,0.0,top
Bolt6,54.356,100.203,90.0,top
Bolt8,84.836,2.413,90.0,top
Bolt9,321.056,6.223,0.0,top
C1,149.78,14.159,270.0,bottom
C10,128.58,7.859,180.0,bottom
C11,128.58,8.859,180.0,bottom
C12,138.68,19.1115,90.0,bottom
C13,128.58,12.959,180.0,bottom
C14,78.88,26.309,90.0,bottom
C15,76.88,26.309,90.0,bottom
C16,84.08,16.263,180.0,bottom
C17,84.08,18.309,180.0,bottom
C18,123.08,24.759,180.0,bottom
C2,149.78,11.659,90.0,bottom
C3,128.58,14.959,180.0,bottom
C4,146.38,10.659,0.0,bottom
C5,128.58,9.859,180.0,bottom
C6,133.955,19.284,90.0,bottom
C7,132.93,7.384,180.0,bottom
C8,128.58,13.959,180.0,bottom
C9,146.38,11.659,0.0,bottom
D1,43.655,92.634,180.0,bottom
D10,80.83,12.859,180.0,bottom
D11,74.505,89.409,270.0,bottom
D12,101.6,75.809,270.0,bottom
D13,106.13,56.709,270.0,bottom
D14,115.78,37.559,270.0,bottom
D15,103.78,18.709,270.0,bottom
D16,93.63,89.409,270.0,bottom
D17,120.455,75.809,270.0,bottom
D18,125.155,56.734,270.0,bottom
D19,134.83,37.659,270.0,bottom
D2,56.48,77.359,180.0,bottom
D21,112.755,89.384,270.0,bottom
D22,139.43,75.809,270.0,bottom
D23,144.272,56.709,270.0,bottom
D24,153.88,37.659,270.0,bottom
D26,131.555,89.384,270.0,bottom
D27,158.48,75.834,270.0,bottom
D28,163.322,56.709,270.0,bottom
D29,172.93,37.709,270.0,bottom
D3,63.655,54.684,180.0,bottom
D30,175.155,17.634,270.0,bottom
D31,150.83,89.409,270.0,bottom
D32,177.63,75.834,270.0,bottom
D33,182.405,56.709,270.0,bottom
D34,192.024,37.659,270.0,bottom
D36,169.88,89.434,270.0,bottom
D37,196.85,75.859,270.0,bottom
D38,201.505,56.709,270.0,bottom
D39,210.43,37.709,270.0,bottom
D4,85.055,41.484,180.0,bottom
D41,189.08,89.434,270.0,bottom
D42,215.855,75.884,270.0,bottom
D43,220.63,56.834,270.0,bottom
D44,229.98,37.709,270.0,bottom
